,Unnamed: 0,Event Name,Type,"Location (city, state)",Institution/Organization,Start Date,End Date,Number of participants,lat,lon,event year
0,0,MERCURY Undergraduate Programming Workshop,Workshop,"Greenville, SC",Furman U,07/22/2017,07/23/2017,32,34.85261759999999,-82.3940104,2017
1,1,2017 Software Summer School,Summer School,"Blacksburg, VA",MolSSI,07/24/2017,08/02/2017,48,37.2295733,-80.4139393,2017
2,2,2018-1 MSF Bootcamp,MSF Bootcamp,"Blacksburg, VA",MolSSI,01/22/2018,01/26/2018,12,37.2295733,-80.4139393,2018
3,3,CMS Bootcamp,Workshop,"Durham, NC","NC State, UNC Chapel Hill, Duke University (targeted), Research Triangle Park (location)",07/09/2018,07/10/2018,42,35.9940329,-78.898619,2018
4,4,FOMMS Best Practices,Workshop,"Delavan, WI",Foundations of Molecular Modeling and Simulation Conference,07/18/2018,07/18/2018,30,42.6330703,-88.6437138,2018
5,5,MERCURY Undergraduate Programming Workshop,Workshop,"Greenville, SC",Furman U,07/18/2018,07/19/2018,28,34.85261759999999,-82.3940104,2018
6,6,2018-2 MSF Bootcamp,MSF Bootcamp,"Blacksburg, VA",MolSSI,07/30/2018,08/03/2018,10,37.2295733,-80.4139393,2018
7,7,Workshop and Summer School Parallel Computing in Molecular Sciences,Workshop + Summer School,"Berkeley, CA","MolSSI, LBNL, IACS, ECP",08/06/2018,08/09/2018,23,37.8715226,-122.273042,2018
8,8,SERMACS Best Practices Workshop,Workshop,"Augusta, GA",ACS Regional Meeting (Southeatern),10/31/2018,10/31/2018,8,33.4734978,-82.0105148,2018
9,9,2019-1 MSF Bootcamp,MSF Bootcamp,"Blacksburg, VA",MolSSI,02/11/2019,02/15/2019,8,37.2295733,-80.4139393,2019
10,10,UF Best Practices Workshop,Workshop,"Gainesville, Fl",University of Florida,04/05/2019,04/05/2019,22,29.6516344,-82.32482619999999,2019
11,11,Great Lakes Regional Meeting Python Data and Scripting,Workshop,"Lisle, Il",ACS Regional Meeting (Great Lakes),05/03/2019,05/03/2019,15,41.801141,-88.0747875,2019
12,12,CU Bouder Best Practices Workshop,Workshop,"Boulder, Co",CU Boulder,05/13/2019,05/13/2019,20,40.0149856,-105.2705456,2019
13,13,Southeastern Theoretical Chemistry Association - Python Workshop,Workshop,"Knoxville, Tn","UT Knoxville, SETCA",05/15/2019,05/16/2019,56,35.9606384,-83.9207392,2019
14,14,Richard Tapia Center Undergraduate Camp,Summer School,"Houston, TX","Rice University, Richard Tapia Center",06/10/2019,06/14/2019,26,29.7604267,-95.3698028,2019
15,15,CalPoly Frost - Undergrad Workshop,Workshop,"San Luis Obispo, CA",CaPoly,06/27/2019,06/28/2019,40,35.2827524,-120.6596156,2019
16,16,Python Data and Scripting - Webinar for summer school students,Workshop,Online,MolSSI,7/10/2019,07/10/2019,38,,,2019
